ID,Blue Side,Red Side,Victor,Blue Ban 1,Blue Ban 2,Blue Ban 3,Blue Ban 4,Blue Ban 5,Red Ban 1,Red Ban 2,Red Ban 3,Red Ban 4,Red Ban 5,Blue Pick 1,Blue Pick 2,Blue Pick 3,Blue Pick 4,Blue Pick 5,Red Pick 1,Red Pick 2,Red Pick 3,Red Pick 4,Red Pick 5
1,Dewa United,AURA Fire,Dewa United,Arlott,Wanwan,Kaja,Minsitthar,Melissa,Valentina,Yve,Fanny,Lancelot,Hayabusa,Faramis,Brody,Joy,Franco,Terizla,Ling,Angela,Pharsa,Fredrinn,Beatrix
2,Dewa United,AURA Fire,AURA Fire,Arlott,Wanwan,Angela,Kadita,Khufra,Yve,Fanny,Joy,Karrie,Beatrix,Valentina,Lancelot,Kaja,Fredrinn,Claude,Ling,Uranus,Brody,Pharsa,Franco
3,Dewa United,AURA Fire,Dewa United,Arlott,Wanwan,Ling,Lancelot,Bane,Fanny,Joy,Yve,Franco,Beatrix,Uranus,Kaja,Valentina,Hayabusa,Karrie,Fredrinn,Angela,Brody,Pharsa,Paquito
4,Alter Ego,Rebellion Zion,Alter Ego,Kadita,Ling,Khufra,Brody,Karrie,Valentina,Kaja,Yve,Pharsa,Melissa,Fanny,Claude,Uranus,Edith,Angela,Faramis,Lancelot,Beatrix,Paquito,Arlott
5,Alter Ego,Rebellion Zion,Rebellion Zion,Ling,Kadita,Khufra,Lunox,Karrie,Valentina,Angela,Fanny,Hilda,Edith,Arlott,Pharsa,Claude,Martis,Uranus,Paquito,Kaja,Lancelot,Yve,Lesley
6,Rebellion Zion,Alter Ego,Rebellion Zion,Angela,Ling,Kadita,Fredrinn,Edith,Fanny,Kaja,Yve,Lancelot,Arlott,Valentina,Paquito,Claude,Martis,Novaria,Pharsa,Uranus,Lesley,Hilda,Hayabusa
7,Geek Fam ID,Bigetron Alpha,Bigetron Alpha,Fanny,Uranus,Angela,Franco,Kaja,Fredrinn,Arlott,Valentina,Hilda,Natalia,Joy,Claude,Yve,Lancelot,Grock,Faramis,Paquito,Ling,Harith,Chou
8,Bigetron Alpha,Geek Fam ID,Geek Fam ID,Arlott,Fredrinn,Uranus,Hilda,Grock,Paquito,Joy,Angela,Franco,Kaja,Fanny,Kadita,Esmeralda,Bane,Chou,Valentina,Brody,Gloo,Khufra,Lancelot
9,Geek Fam ID,Bigetron Alpha,Bigetron Alpha,Paquito,Angela,Fanny,Hilda,Gloo,Valentina,Fredrinn,Uranus,Franco,Harith,Arlott,Ling,Pharsa,Claude,Khufra,Joy,Faramis,Grock,Kaja,Karrie
10,AURA Fire,Rex Regum Qeon,Rex Regum Qeon,Fanny,Franco,Angela,Fredrinn,Arlott,Joy,Valentina,Ling,Lesley,Harith,Uranus,Hayabusa,Yve,Beatrix,Khufra,Kaja,Claude,Kadita,Paquito,Baxia
11,AURA Fire,Rex Regum Qeon,Rex Regum Qeon,Fanny,Angela,Kadita,Fredrinn,Paquito,Ling,Valentina,Joy,Lancelot,Lesley,Arlott,Franco,Pharsa,Karrie,Martis,Claude,Yve,Kaja,Grock,Baxia
12,Bigetron Alpha,Alter Ego,Bigetron Alpha,Angela,Hilda,Uranus,Hayabusa,Lancelot,Fanny,Valentina,Joy,Ling,Helcurt,Paquito,Faramis,Claude,Floryn,Alice,Fredrinn,Bane,Yve,Harith,Kadita
13,Bigetron Alpha,Alter Ego,Bigetron Alpha,Angela,Hilda,Uranus,Fredrinn,Masha,Fanny,Valentina,Paquito,Chou,Faramis,Joy,Grock,Beatrix,Yve,Khufra,Khaleed,Baxia,Kadita,Kaja,Claude
14,Dewa United,Rebellion Zion,Rebellion Zion,Wanwan,Kaja,Ling,Hilda,Bane,Valentina,Fanny,Kadita,Faramis,Yve,Hayabusa,Brody,Uranus,Franco,Lunox,Paquito,Pharsa,Claude,Fredrinn,Edith
15,Dewa United,Rebellion Zion,Dewa United,Kaja,Wanwan,Paquito,Melissa,Harith,Valentina,Fanny,Uranus,Franco,Brody,Joy,Terizla,Faramis,Beatrix,Chou,Angela,Arlott,Ling,Esmeralda,Gloo
